"plot";"abbr";"layer";"cov";"voucher";"determined"
"gu01";"acer pseu";"hl";3;;
"gu01";"aego poda";"hl";1;;
"gu01";"anem nemo";"hl";"+";;
"gu01";"brac sylv";"hl";"+";;
"gu01";"care alba";"hl";"2b";;
"gu01";"care flac";"hl";"+";;
"gu01";"care mich";"hl";"+";;
"gu01";"colc autu";"hl";"+";;
"gu01";"conv maja maja";"hl";"+";;
"gu01";"corn sang sang";"hl";"+";;
"gu01";"crat mono";"hl";"+";;
"gu01";"daph meze";"hl";"+";;
"gu01";"euon euro";"hl";"r";;
"gu01";"euph amyg amyg";"hl";"+";;
"gu01";"fagu sylv";"hl";"+";;
"gu01";"frax exce";"hl";1;;
"gu01";"hell nige";"hl";"2a";;
"gu01";"hepa nobi";"hl";"+";;
"gu01";"jugl regi";"hl";"+";;
"gu01";"list ovat";"hl";"r";;
"gu01";"loni xylo";"hl";1;;
"gu01";"pari quad";"hl";"+";;
"gu01";"poly mult";"hl";"+";;
"gu01";"pulm offi";"hl";1;;
"gu01";"sani euro";"hl";"+";;
"gu01";"ulmu glab";"hl";"+";;
"gu01";"vibu opul";"hl";"+";;
"gu01";"vinc mino";"hl";3;;
"gu01";"acer pseu";"sl";"+";;
"gu01";"berb vulg";"sl";"+";;
"gu01";"corn sang sang";"sl";"+";;
"gu01";"cory avel";"sl";1;;
"gu01";"fagu sylv";"sl";"+";;
"gu01";"loni xylo";"sl";1;;
"gu01";"pice abie";"sl";1;;
"gu01";"vibu lant";"sl";"+";;
"gu01";"acer pseu";"tl1";"2b";;
"gu01";"fagu sylv";"tl1";"2a";;
"gu01";"frax exce";"tl1";3;;
"gu01";"pice abie";"tl1";"2a";;
"gu01";"quer robu";"tl1";3;;
"gu01";"acer pseu";"tl2";"2b";;
"gu01";"pice abie";"tl2";1;;
"gu01";"sorb aria";"tl2";1;;
"gu01";"tili cord";"tl2";"+";;
"gu02";"acer camp";"hl";"+";;
"gu02";"acer pseu";"hl";"+";;
"gu02";"anem nemo";"hl";"+";;
"gu02";"brac sylv";"hl";"+";;
"gu02";"brom bene";"hl";"+";;
"gu02";"camp pers";"hl";"+";;
"gu02";"care alba";"hl";3;;
"gu02";"care digi";"hl";"+";;
"gu02";"carp betu";"hl";"+";;
"gu02";"conv maja maja";"hl";"2b";;
"gu02";"corn sang sang";"hl";"+";;
"gu02";"cory avel";"hl";"+";;
"gu02";"crat mono";"hl";"+";;
"gu02";"euph amyg amyg";"hl";"+";;
"gu02";"euph dulc dulc";"hl";"+";;
"gu02";"fest hete ylla";"hl";1;;
"gu02";"frag mosc";"hl";1;;
"gu02";"frax exce";"hl";1;;
"gu02";"gali sylv";"hl";"+";;
"gu02";"geum urba";"hl";"+";;
"gu02";"hede heli";"hl";"+";;
"gu02";"hell nige";"hl";"+";;
"gu02";"hepa nobi";"hl";"2a";;
"gu02";"hier muro";"hl";"+";;
"gu02";"jugl regi";"hl";"r";;
"gu02";"lath vern";"hl";"+";;
"gu02";"ligu vulg";"hl";"+";;
"gu02";"loni xylo";"hl";"+";;
"gu02";"luzu pilo";"hl";"+";;
"gu02";"mela nemo";"hl";"+";;
"gu02";"meli nuta";"hl";"+";;
"gu02";"poly mult";"hl";"2a";;
"gu02";"quer robu";"hl";"+";;
"gu02";"sorb aria";"hl";"+";;
"gu02";"vibu lant";"hl";"+";;
"gu02";"fagu sylv";"sl";"+";;
"gu02";"loni xylo";"sl";"+";;
"gu02";"fagu sylv";"tl1";"2a";;
"gu02";"frax exce";"tl1";3;;
"gu02";"quer robu";"tl1";"2a";;
"gu02";"carp betu";"tl2";4;;
"gu02";"fagu sylv";"tl2";1;;
"gu02";"quer robu";"tl2";"2b";;
"gu02";"sorb aria";"tl2";1;;
"gu03";"ajug rept";"hl";"+";;
"gu03";"anem nemo";"hl";1;;
"gu03";"berb vulg";"hl";"+";;
"gu03";"brac sylv";"hl";"+";;
"gu03";"care alba";"hl";4;;
"gu03";"care digi";"hl";1;;
"gu03";"carp betu";"hl";"+";;
"gu03";"conv maja maja";"hl";3;;
"gu03";"corn mas";"hl";1;;
"gu03";"cory avel";"hl";"+";;
"gu03";"euon euro";"hl";"+";;
"gu03";"fagu sylv";"hl";"+";;
"gu03";"frag mosc";"hl";"+";;
"gu03";"frax exce";"hl";1;;
"gu03";"gali sylv";"hl";1;;
"gu03";"hede heli";"hl";"+";;
"gu03";"hepa nobi";"hl";"2b";;
"gu03";"jugl regi";"hl";"r";;
"gu03";"ligu vulg";"hl";1;;
"gu03";"loni xylo";"hl";1;;
"gu03";"meli nuta";"hl";1;;
"gu03";"pote ster";"hl";"+";;
"gu03";"quer robu";"hl";"+";;
"gu03";"rham cath";"hl";"+";;
"gu03";"rosa arve";"hl";"+";;
"gu03";"rubu sect rubu";"hl";1;;
"gu03";"sorb aria";"hl";1;;
"gu03";"tili plat";"hl";"r";;
"gu03";"vibu lant";"hl";"+";;
"gu03";"viol rivi";"hl";"+";;
"gu03";"acer pseu";"sl";"+";;
"gu03";"corn mas";"sl";"2a";;
"gu03";"corn sang sang";"sl";"+";;
"gu03";"crat mono";"sl";3;;
"gu03";"frax exce";"sl";1;;
"gu03";"ligu vulg";"sl";1;;
"gu03";"loni xylo";"sl";"2a";;
"gu03";"sorb aria";"sl";"2a";;
"gu03";"stap pinn";"sl";"+";;
"gu03";"vibu lant";"sl";"+";;
"gu03";"quer robu";"tl1";5;;
"gu03";"crat mono";"tl2";1;;
"gu03";"fagu sylv";"tl2";"2b";;
"gu03";"frax exce";"tl2";1;;
"gu03";"quer robu";"tl2";"2b";;
"gu03";"sorb aria";"tl2";"2b";;
"gu04";"quer robu";"hl";"+";;
"gu04";"quer robu";"tl1";3;;
"gu04";"quer robu";"tl2";"2a";;
"gu04";"frax exce";"hl";1;;
"gu04";"frax exce";"sl";"2a";;
"gu04";"frax exce";"tl1";"2a";;
"gu04";"frax exce";"tl2";"2b";;
"gu04";"ligu vulg";"hl";"2b";;
"gu04";"ligu vulg";"sl";"2b";;
"gu04";"corn mas";"hl";"2b";;
"gu04";"corn mas";"sl";"2b";;
"gu04";"loni xylo";"hl";"+";;
"gu04";"loni xylo";"sl";1;;
"gu04";"vibu lant";"hl";"+";;
"gu04";"vibu lant";"sl";1;;
"gu04";"berb vulg";"hl";"+";;
"gu04";"berb vulg";"sl";"+";;
"gu04";"crat mono";"hl";"+";;
"gu04";"crat mono";"sl";1;;
"gu04";"fagu sylv";"hl";"+";;
"gu04";"fagu sylv";"tl1";"2a";;
"gu04";"jugl regi";"hl";"+";;
"gu04";"prun padu padu";"hl";1;;
"gu04";"prun padu padu";"sl";"2a";;
"gu04";"care alba";"hl";4;;
"gu04";"conv maja maja";"hl";1;;
"gu04";"rubu sect rubu";"hl";"+";;
"gu04";"brac sylv";"hl";1;;
"gu04";"alli peti";"hl";"+";;
"gu04";"corn sang sang";"hl";1;;
"gu04";"corn sang sang";"sl";1;;
"gu04";"sorb aria";"hl";"+";;
"gu04";"sorb aria";"sl";"+";;
"gu04";"gera robe";"hl";"+";;
"gu04";"geum urba";"hl";"+";;
"gu04";"euon euro";"hl";1;;
"gu04";"euon euro";"sl";"+";;
"gu04";"meli nuta";"hl";1;;
"gu04";"prun aviu aviu";"hl";1;;
"gu04";"prun aviu aviu";"tl2";1;;
"gu04";"acer camp";"hl";"+";;
"gu04";"acer camp";"sl";1;;
"gu04";"poly mult";"hl";"+";;
"gu04";"vinc mino";"hl";"+";;
"gu04";"rubu caes";"hl";"+";;
"gu04";"viol rivi";"hl";"+";;
"gu04";"hepa nobi";"hl";1;;
"gu04";"sorb aucu aucu";"hl";"+";;
"gu04";"anem nemo";"hl";"+";;
"gu04";"lath vern";"hl";"+";;
"gu04";"alli cari cari";"hl";"r";;
"gu04";"prun spin";"hl";"+";;
"gu04";"prun spin";"sl";"+";;
"gu04";"carp betu";"hl";"+";;
"gu04";"ulmu glab";"tl2";1;;
"gu04";"ulmu glab";"hl";"+";;
"gu04";"acer plat";"hl";"+";;
"gu04";"poa nemo";"hl";"+";;
"gu04";"care digi";"hl";"r";;
"gu04";"gera macr";"hl";"r";;
