"plot";"abbr";"layer";"cov"
"ts01";"pice abie";"tl2";"2b"
"ts01";"cory avel";"sl";"1"
"ts01";"fran alnu";"sl";"1"
"ts01";"sorb aria";"sl";"2b"
"ts01";"acer pseu";"hl";"r"
"ts01";"clin alpi alpi";"hl";"+"
"ts01";"anth ramo";"hl";"1"
"ts01";"berb vulg";"hl";"r"
"ts01";"buph sali";"hl";"1"
"ts01";"cala vari";"hl";"2a"
"ts01";"card defl viri";"hl";"1"
"ts01";"care digi";"hl";"+"
"ts01";"care humi";"hl";"3"
"ts01";"cory avel";"hl";"+"
"ts01";"epip atro";"hl";"+"
"ts01";"eric carn";"hl";"1"
"ts01";"euph cypa";"hl";"+"
"ts01";"fran alnu";"hl";"+"
"ts01";"gali trun";"hl";"1"
"ts01";"gent cili";"hl";"+"
"ts01";"glob cord";"hl";"+"
"ts01";"hier glau cum";"hl";"r"
"ts01";"jugl regi";"hl";"r"
"ts01";"lase sile sile";"hl";"+"
"ts01";"moli caer aggr";"hl";"4"
"ts01";"peta para";"hl";"+"
"ts01";"phyt orbi";"hl";"+"
"ts01";"pinu mugo";"hl";"2a"
"ts01";"pinu sylv";"hl";"+"
"ts01";"poly odor";"hl";"+"
"ts01";"rume scut";"hl";"+"
"ts01";"sesl caer";"hl";"1"
"ts01";"taxu bacc";"hl";"+"
"ts01";"teuc mont";"hl";"+"
"ts01";"vinc hiru";"hl";"+"
"ts02";"pice abie";"tl1";"2b"
"ts02";"amel oval";"sl";"2b"
"ts02";"berb vulg";"sl";"1"
"ts02";"clem vita";"sl";"1"
"ts02";"cory avel";"sl";"1"
"ts02";"fran alnu";"sl";"1"
"ts02";"loni xylo";"sl";"2a"
"ts02";"pinu sylv";"sl";"+"
"ts02";"rham cath";"sl";"1"
"ts02";"sorb aria";"sl";"2a"
"ts02";"acer pseu";"hl";"3"
"ts02";"anth ramo";"hl";"+"
"ts02";"aqui atra";"hl";"+"
"ts02";"berb vulg";"hl";"+"
"ts02";"buph sali";"hl";"1"
"ts02";"card defl viri";"hl";"1"
"ts02";"care alba";"hl";"2a"
"ts02";"care digi";"hl";"+"
"ts02";"care humi";"hl";"2b"
"ts02";"clem vita";"hl";"+"
"ts02";"conv maja maja";"hl";"1"
"ts02";"corn sang sang";"hl";"+"
"ts02";"cory avel";"hl";"+"
"ts02";"cycl purp";"hl";"+"
"ts02";"epip atro";"hl";"+"
"ts02";"eric carn";"hl";"1"
"ts02";"euph amyg amyg";"hl";"+"
"ts02";"gali sylv";"hl";"+"
"ts02";"hepa nobi";"hl";"+"
"ts02";"jugl regi";"hl";"r"
"ts02";"lase sile sile";"hl";"1"
"ts02";"mela sylv";"hl";"+"
"ts02";"merc pere";"hl";"r"
"ts02";"moli caer aggr";"hl";"3"
"ts02";"peta para";"hl";"2b"
"ts02";"peuc oreo";"hl";"r"
"ts02";"poly odor";"hl";"+"
"ts02";"rham cath";"hl";"+"
"ts02";"rhin glac";"hl";"+"
"ts02";"salv glut";"hl";"+"
"ts02";"soli virg virg";"hl";"1"
"ts02";"taxu bacc";"hl";"+"
"ts02";"teuc cham";"hl";"+"
"ts02";"vinc hiru";"hl";"+"
"ts02";"viol hirt";"hl";"+"
"ts03";"acer pseu";"tl1";"2b"
"ts03";"taxu bacc";"tl1";"3"
"ts03";"berb vulg";"sl";"2b"
"ts03";"clem vita";"sl";"1"
"ts03";"cory avel";"sl";"3"
"ts03";"fran alnu";"sl";"1"
"ts03";"hede heli";"sl";"+"
"ts03";"rham cath";"sl";"1"
"ts03";"anth ramo";"hl";"+"
"ts03";"aqui atra";"hl";"+"
"ts03";"buph sali";"hl";"1"
"ts03";"card defl viri";"hl";"1"
"ts03";"care alba";"hl";"1"
"ts03";"care digi";"hl";"+"
"ts03";"care flac";"hl";"2a"
"ts03";"care humi";"hl";"2b"
"ts03";"clem vita";"hl";"+"
"ts03";"cory avel";"hl";"+"
"ts03";"cycl purp";"hl";"+"
"ts03";"eric carn";"hl";"1"
"ts03";"eupa cann";"hl";"+"
"ts03";"euph amyg amyg";"hl";"+"
"ts03";"fran alnu";"hl";"+"
"ts03";"gali sylv";"hl";"+"
"ts03";"gali trun";"hl";"+"
"ts03";"hede heli";"hl";"+"
"ts03";"hell nige";"hl";"+"
"ts03";"hepa nobi";"hl";"+"
"ts03";"hipp emer emer";"hl";"+"
"ts03";"lase sile sile";"hl";"+"
"ts03";"leon inca";"hl";"+"
"ts03";"moli caer aggr";"hl";"3"
"ts03";"peta para";"hl";"1"
"ts03";"poly cham";"hl";"+"
"ts03";"poly odor";"hl";"+"
"ts03";"pren purp";"hl";"+"
"ts03";"rham cath";"hl";"+"
"ts03";"rhin glac";"hl";"+"
"ts03";"salv glut";"hl";"+"
"ts03";"sesl caer";"hl";"+"
"ts03";"sorb aria";"hl";"+"
"ts03";"teuc cham";"hl";"2a"
"ts03";"teuc mont";"hl";"+"
"ts03";"thal minu slat";"hl";"1"
"ts03";"vinc hiru";"hl";"1"
"ts04";"acer pseu";"tl1";"2b"
"ts04";"pice abie";"tl1";"2b"
"ts04";"acer pseu";"sl";"1"
"ts04";"cory avel";"sl";"2a"
"ts04";"pice abie";"sl";"+"
"ts04";"amel oval";"hl";"+"
"ts04";"anth ramo";"hl";"1"
"ts04";"aqui atra";"hl";"+"
"ts04";"buph sali";"hl";"1"
"ts04";"cala vari";"hl";"1"
"ts04";"card defl viri";"hl";"+"
"ts04";"care alba";"hl";"1"
"ts04";"care humi";"hl";"2b"
"ts04";"clin alpi alpi";"hl";"+"
"ts04";"cory avel";"hl";"+"
"ts04";"cycl purp";"hl";"+"
"ts04";"digi gran";"hl";"+"
"ts04";"euph cypa";"hl";"+"
"ts04";"gali anis";"hl";"+"
"ts04";"gymn cono cono";"hl";"+"
"ts04";"hell nige";"hl";"+"
"ts04";"hier bifi";"hl";"+"
"ts04";"lase lati lati";"hl";"+"
"ts04";"lase sile sile";"hl";"2a"
"ts04";"moli caer aggr";"hl";"5"
"ts04";"peuc oreo";"hl";"1"
"ts04";"pice abie";"hl";"+"
"ts04";"poly cham";"hl";"+"
"ts04";"rham cath";"hl";"+"
"ts04";"rhin glac";"hl";"+"
"ts04";"soli virg virg";"hl";"+"
"ts04";"sorb aria";"hl";"+"
"ts04";"teuc cham";"hl";"2b"
"ts04";"vinc hiru";"hl";"+"
"ts05";"acer pseu";"hl";"+"
"ts05";"anth ramo";"hl";"+"
"ts05";"buph sali";"hl";"1"
"ts05";"cala vari";"hl";"2a"
"ts05";"card defl viri";"hl";"+"
"ts05";"care humi";"hl";"3"
"ts05";"care mucr";"hl";"+"
"ts05";"cory avel";"hl";"+"
"ts05";"eric carn";"hl";"+"
"ts05";"euph amyg amyg";"hl";"+"
"ts05";"euph cypa";"hl";"1"
"ts05";"euph offi pict";"hl";"+"
"ts05";"hell nige";"hl";"+"
"ts05";"lase sile sile";"hl";"2a"
"ts05";"maia bifo";"hl";"+"
"ts05";"moli caer aggr";"hl";"2b"
"ts05";"orig vulg";"hl";"+"
"ts05";"peuc oreo";"hl";"1"
"ts05";"poly cham";"hl";"+"
"ts05";"rhin glac";"hl";"+"
"ts05";"sesl caer";"hl";"2a"
"ts05";"sorb aria";"hl";"+"
"ts05";"teuc cham";"hl";"1"
"ts05";"teuc mont";"hl";"+"
"ts05";"vinc hiru";"hl";"1"
"ts07";"amel oval";"sl";"2a"
"ts07";"vibu lant";"sl";1
"ts07";"frax exce";"sl";"2a"
"ts07";"frax exce";"tl2";1
"ts07";"rosa pend";"sl";"+"
"ts07";"sorb aria";"sl";1
"ts07";"rosa pend";"hl";"+"
"ts07";"vibu lant";"hl";"+"
"ts07";"coto tome";"hl";"+"
"ts07";"rham cath";"hl";1
"ts07";"amel oval";"hl";"+"
"ts07";"tili cord";"hl";1
"ts07";"acer plat";"hl";"+"
"ts07";"tort tort";"ml";"+"
"ts07";"homa lute";"ml";1
"ts07";"cten moll slat";"ml";1
"ts07";"berb vulg";"sl";1
"ts07";"berb vulg";"hl";"+"
"ts07";"cory avel";"sl";1
"ts07";"rosa cani";"sl";"+"
"ts07";"corn sang sang";"sl";"+"
"ts07";"carp betu";"sl";"+"
"ts07";"corn sang sang";"hl";1
"ts07";"ligu vulg";"hl";"+"
"ts07";"eric carn";"hl";1
"ts07";"cala vari";"hl";1
"ts07";"aspl ruta";"hl";1
"ts07";"hipp emer emer";"hl";"2a"
"ts07";"care alba";"hl";1
"ts07";"euon lati";"hl";"2b"
"ts07";"ligu vulg";"sl";1
"ts07";"buph sali";"hl";1
"ts07";"hier bifi";"hl";"+"
"ts07";"sesl caer";"hl";"2a"
"ts07";"orig vulg";"hl";"+"
"ts07";"gali sylv";"hl";"+"
"ts07";"euon lati";"sl";1
"ts07";"poly cham";"hl";"+"
"ts07";"sedu albu";"hl";"+"
"ts07";"gera robe";"hl";"+"
"ts07";"vinc hiru";"hl";"+"
"ts07";"meli cili";"hl";"r"
"ts07";"care digi";"hl";"+"
"ts07";"cycl purp";"hl";"+"
"ts07";"aspl tric quad";"hl";"+"
"ts07";"hier humi";"hl";"r"
"ts07";"card defl viri";"hl";1
"ts07";"meli nuta";"hl";"+"
"ts07";"rubu sect rubu";"hl";"r"
"ts07";"gali trun";"hl";"+"
"ts07";"kern saxa";"hl";"+"
"ts08";"ulmu glab";"tl2";"+"
"ts08";"tili cord";"tl2";"2b"
"ts08";"cory avel";"sl";3
"ts08";"euon lati";"sl";"2b"
"ts08";"corn sang sang";"hl";"2a"
"ts08";"corn sang sang";"sl";1
"ts08";"acer pseu";"sl";1
"ts08";"vibu lant";"sl";1
"ts08";"fagu sylv";"sl";"+"
"ts08";"ligu vulg";"sl";"+"
"ts08";"ligu vulg";"hl";1
"ts08";"vibu lant";"hl";"+"
"ts08";"euon lati";"hl";"2a"
"ts08";"berb vulg";"sl";"+"
"ts08";"amel oval";"sl";"+"
"ts08";"rosa cani";"sl";"+"
"ts08";"gali trun";"hl";"+"
"ts08";"rubu sect rubu";"hl";"+"
"ts08";"hipp emer emer";"hl";"2a"
"ts08";"orig vulg";"hl";"+"
"ts08";"meli nuta";"hl";1
"ts08";"buph sali";"hl";"+"
"ts08";"clem vita";"hl";"+"
"ts08";"care alba";"hl";"2b"
"ts08";"card defl viri";"hl";1
"ts08";"cycl purp";"hl";1
"ts08";"sesl caer";"hl";"2a"
"ts08";"hier bifi";"hl";"+"
"ts08";"aspl tric quad";"hl";"+"
"ts08";"hepa nobi";"hl";"+"
"ts08";"hede heli";"hl";"+"
"ts08";"soli virg virg";"hl";"+"
"ts08";"rosa arve";"hl";"+"
"ts08";"gali sylv";"hl";"+"
"ts08";"sorb aucu aucu";"sl";"+"
"ts08";"lase lati lati";"hl";"+"
"ts08";"fagu sylv";"tl2";1
"ts08";"stap pinn";"hl";"+"
